var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
2,2,16,1.0719,1.827,1.5331000000000001,2.5861,1.9563,2.0
2,2,9,0.8676,1.5422,1.1235,2.7382,2.6069999999999998,2.0
6,6,6,1.9927000000000001,1.2622999999999998,0.7643,1.4776,1.9304000000000001,3.0
8,5,17,0.853,1.2719,2.7767,1.5664,2.2773,1.0
0,17,0,2.2984,2.3596,1.3300999999999998,1.8413,1.428,2.0
9,15,18,1.8425,2.6836,2.705,1.2183000000000002,0.9251,1.0
8,8,14,1.552,2.3653999999999997,2.7266,0.8884,2.4476,2.0
5,5,11,1.2021000000000002,1.1889,2.6686,1.9665,1.6158,2.0
10,2,10,1.2555,2.4035,2.1465,2.1906999999999996,1.5157,2.0
15,9,6,2.693,0.9774,1.8098,1.8033,0.8691,1.0
6,2,9,1.1078000000000001,1.79,1.0949,2.5846,2.6852,1.0
15,8,16,2.5992,2.0686,1.9899,1.8775,0.9694,1.0
10,9,18,1.3889000000000002,2.0924,2.9811,2.5236,0.9307000000000001,1.0
9,9,16,2.462,2.1281,2.2159,1.8971999999999998,0.5937,2.0
15,9,10,2.5689,1.7913000000000001,2.3959,1.9835,0.3943,1.0
6,5,1,0.8344,1.2581,1.9413999999999998,2.6532,2.5185,1.0
0,9,16,2.6333,1.8543,1.7674,2.5303,0.38239999999999996,1.0
0,0,2,2.0375,2.4149,0.6429,1.0398,1.1626,2.0
8,8,8,1.8409,1.9544,2.0144,0.7691,2.3969,3.0
10,8,18,1.2650000000000001,2.5576000000000003,2.8126,2.1581,1.6455,1.0
10,5,14,1.1662,1.7832,2.8503,1.976,1.7728000000000002,1.0
0,2,0,1.925,2.2292,1.4771999999999998,2.3476,1.7156000000000002,2.0
7,15,0,2.5598,1.9693999999999998,2.5094,1.1575,1.0566,1.0
17,8,14,1.9586000000000001,2.1685,2.0678,1.3774,2.4443,1.0
15,15,0,2.7685,1.9085999999999999,2.3851999999999998,1.5498,0.6519,2.0
8,8,11,1.5665,1.96,2.7618,1.2793999999999999,2.0113,2.0
17,0,0,2.6849000000000003,1.8998,1.033,1.327,1.9302000000000001,2.0
2,2,2,0.20500000000000002,2.1376999999999997,1.3800000000000001,2.0269,2.3718,3.0
2,2,7,0.36879999999999996,1.408,1.9679000000000002,2.6635999999999997,2.1879,2.0
9,2,18,1.0888,2.7533,2.188,1.7288,1.861,1.0
2,2,18,0.3749,2.078,2.0552,2.5385999999999997,2.3672999999999997,2.0
6,12,2,0.6463,2.1765,0.9629000000000001,1.8288,2.375,1.0
6,9,16,1.9883000000000002,1.7006000000000001,2.0545,2.5534,1.1782000000000001,1.0
10,9,9,1.8816000000000002,1.5566000000000002,2.0494,2.7232000000000003,1.1703999999999999,2.0
0,15,0,2.6787,2.1595,1.9941999999999998,1.8371,0.7797000000000001,2.0
0,0,0,2.8723,2.1048999999999998,1.0558,1.5372000000000001,1.2240000000000002,3.0
8,8,1,1.3178,1.9810999999999999,2.2222,1.5833,2.5347999999999997,2.0
17,8,9,2.1177,1.8296000000000001,1.1665,2.1067,2.4541,1.0
17,7,0,1.9143,1.4828999999999999,1.7511999999999999,1.7235,2.3085999999999998,1.0
2,5,11,0.8429,0.9892000000000001,2.5096,2.5029,1.9167999999999998,1.0
0,8,2,1.6424999999999998,2.6302,1.4458,1.6056000000000001,1.5127,1.0
0,1,9,2.572,1.7069,1.0825,2.1281,1.5836999999999999,1.0
17,17,9,1.9388,1.8690000000000002,0.6379,1.845,2.308,2.0
18,13,18,1.0325,1.9948000000000001,2.2207,2.0803000000000003,1.2828,2.0
10,9,16,2.0859,1.8414000000000001,2.459,2.5711,0.5197,1.0
2,2,15,0.3696,1.5204,1.9426,2.0867,2.4941999999999998,2.0
12,10,14,1.6963,2.3800999999999997,2.769,0.41779999999999995,1.8578000000000001,1.0
17,9,6,2.4158,1.0231999999999999,1.3960000000000001,1.8803999999999998,1.7031,1.0
3,2,18,0.8029,2.111,2.0236,2.5254,1.6936000000000002,1.0
13,13,13,1.0283,1.3293,1.9677000000000002,1.3804,1.9230999999999998,3.0
8,8,17,1.2854,1.8494,2.7086,1.2187999999999999,2.3799,2.0
13,5,0,1.6284,1.0983,2.564,1.987,1.8361,1.0
7,9,7,1.8113000000000001,1.2452,2.7174,1.9282,0.8909,2.0
7,7,0,1.9828000000000001,1.4979,2.2892,1.2541,1.8793000000000002,2.0
6,18,6,1.5539,0.798,0.9294,1.2072,2.6212,2.0
8,2,2,0.4962,2.5309999999999997,1.7003000000000001,1.151,2.3637,2.0
10,15,15,1.4610999999999998,1.8393,2.8355,1.4403,0.978,2.0
3,9,9,1.9718,1.201,1.6419000000000001,2.8459000000000003,1.077,2.0
17,8,8,2.2475,1.7575,1.3556,1.2581,2.3936,2.0
16,10,10,2.23,2.1298,2.0376,1.1201,1.1512,2.0
7,1,6,2.6273,1.1756,1.6587,0.8567,1.8243999999999998,1.0
2,2,4,0.1422,1.2731,1.4382000000000001,2.7592,2.5204,2.0
12,2,14,0.9485,2.5183,2.3601,1.085,2.3299,1.0
9,2,2,0.9189,2.8129999999999997,1.5128000000000001,1.2170999999999998,1.8655,2.0
12,2,2,0.44500000000000006,2.7748999999999997,1.7153,1.103,2.1045,2.0
0,8,0,2.4773,2.3202,1.8586999999999998,2.103,1.5741,2.0
0,9,9,2.4290000000000003,1.5695000000000001,1.3578000000000001,2.6824000000000003,1.0331,2.0
6,1,10,1.9771,2.0259,2.0167,1.7396,1.8684999999999998,1.0
10,2,2,0.5428000000000001,2.5263,1.7559,1.8909999999999998,1.7915,2.0
8,8,16,1.9154,2.3113,2.2349,1.4656,1.8067,2.0
2,2,17,0.4419,1.3651,2.0068,2.3392999999999997,2.5294999999999996,2.0
2,2,14,0.7085,1.8811,2.0248,2.0089,2.5972,2.0
9,8,9,2.1338,2.3085,1.6378,1.6838000000000002,1.9592,2.0
12,10,10,1.9055,2.5138999999999996,2.5148,0.7355,1.3566,2.0
7,9,0,2.4823,1.6649000000000003,2.5423999999999998,1.7889,1.1362,1.0
8,5,14,1.1196,1.7879,2.7946999999999997,1.236,2.3449999999999998,1.0
10,10,18,1.4605000000000001,2.3284000000000002,2.84,1.7355,1.3149000000000002,2.0
12,8,18,1.1672,2.8062,2.7720000000000002,1.3701,1.9585000000000001,1.0
7,8,14,2.0271,2.1835,2.6058,0.9079999999999999,2.015,1.0
0,1,0,2.7442,1.9924,1.7519,1.9142000000000001,1.4099,2.0
11,9,11,1.5024000000000002,1.5219,2.654,1.9159,1.1617,2.0
0,9,0,2.6012,1.855,2.0272,2.4685,0.8593,2.0
9,10,16,2.5336,2.3640999999999996,2.0748,1.1091,0.9779,1.0
1,1,1,1.4924,1.3484,1.4185999999999999,1.5702,2.2405999999999997,3.0
17,17,17,1.5131000000000001,1.6919000000000002,1.5211999999999999,1.4461,2.2305,3.0
10,13,13,0.8974,1.9608000000000003,2.0221,1.8848,1.6958,2.0
10,10,10,2.0033000000000003,2.2653,2.5554,1.5235,1.0436,3.0
2,2,0,1.0398,1.8277,1.7929,2.5243,2.4332,2.0
2,2,6,1.0418,1.2009999999999998,1.1845,2.1464,2.5707999999999998,2.0
17,9,9,2.2416,1.3644,1.335,2.4722,1.7393,2.0
8,1,8,2.1078,1.6266,1.9076,0.5803,2.2327,2.0
6,2,18,0.6151,2.3258,2.0266,2.385,2.4455,1.0
2,2,13,0.3952,1.7288999999999999,1.3235000000000001,2.0658,2.6534999999999997,2.0
0,2,2,1.0902,2.5392,1.0643,1.8501999999999998,1.6542000000000001,2.0
15,15,11,2.4516999999999998,1.5566,2.6523,1.4254,0.3796,2.0
9,17,14,1.7957999999999998,2.6868,2.0105,0.6928,1.8033000000000001,1.0
0,2,9,1.7528000000000001,1.9437,0.8078,2.5614999999999997,1.8894000000000002,1.0
8,9,9,1.835,1.5613000000000001,1.9937999999999998,1.9832,1.7426,2.0
17,1,1,1.9912999999999998,1.4564000000000001,1.4566,1.8835,2.3673,2.0
10,9,10,1.9317000000000002,2.0293,2.6965,2.3116,0.6594,2.0
17,9,1,1.8483,1.319,1.7319,2.4378,1.8167,1.0
8,10,10,1.9567,2.2699999999999996,2.4998,0.7835000000000001,1.6158,2.0
2,13,18,0.5393,1.9213,2.3779,2.4935,1.9899,1.0
15,15,15,2.0983,1.6013,2.5349,1.1122,0.7129,3.0
6,6,0,1.9907,1.8889999999999998,1.3727,1.8555000000000001,1.7928000000000002,2.0
17,1,9,2.3846,1.5018000000000002,1.0596999999999999,1.9179,2.2899,1.0
15,15,6,2.7704999999999997,1.2818999999999998,1.7768,1.1719,0.7895,2.0
0,8,10,2.3552,2.5073999999999996,1.8363999999999998,1.9053000000000002,1.2368999999999999,1.0
17,1,8,2.5143999999999997,1.4297000000000002,1.2488,1.0693,2.2294,1.0
8,10,8,2.0364,1.7251999999999998,2.0418000000000003,0.34650000000000003,2.0663,2.0
9,9,9,2.2577,1.8433000000000002,1.8062999999999998,2.0492999999999997,1.2444,3.0
7,1,0,2.6253,1.8023000000000002,2.2671,1.2346,1.6867999999999999,1.0
7,9,18,1.8174000000000001,1.9152,2.8047,1.8032,1.0703,1.0
8,1,17,1.5523,1.5216,2.6018,1.03,2.2157,1.0
6,2,14,0.9487,2.1289,1.9962,1.8553,2.6754000000000002,1.0
5,5,18,0.8540000000000001,1.7912,2.6638,2.1052,1.8222,2.0
0,10,0,2.6728,2.0909999999999997,1.8860999999999999,1.6804000000000001,1.2435,2.0
12,12,13,0.8363,2.1571000000000002,1.2703000000000002,1.0974,2.3112,2.0
12,8,12,1.3468,2.5393,2.1828000000000003,1.233,1.8285,2.0
11,11,11,1.2602000000000002,1.5754000000000001,1.7076,1.5112,1.3131,3.0
17,3,9,1.9006,1.2459,1.0442,2.3403,2.4173999999999998,1.0
9,9,14,2.0986000000000002,2.1822,2.7076,1.3199999999999998,1.2346,2.0
15,15,10,2.6464,2.0957999999999997,2.3629,1.3521,0.3147,2.0
12,12,12,0.9956,2.2393,1.4128000000000003,1.4331,1.895,3.0
11,2,18,0.4781,2.4984,2.0992,1.9337,2.2244,1.0
